H,m,profits_mean,profits_std,satisfaction_mean,degradation_mean,served_mean,n_runs
10,0.8,-5.590558324245903,3.9487998397012887,0.9908416666666667,0.00021371777004297612,2.3,10
10,0.9,-3.2392209351875416,3.2366826101771826,0.9908416666666667,0.00034215520697884,2.3,10
10,1.0,-1.1663123427460367,2.786626747940698,0.9908416666666667,0.00041754079033486,2.3,10
10,1.1,2.069123755376014,2.6844072787213404,0.99085,0.00054508912365586,2.3,10
10,1.2,5.372861453367055,3.3271448361228035,0.99085,0.00054965836382514,2.3,10
40,0.8,-4.47194622105847,3.541861604282085,0.99085,0.00020899488245073873,2.3,10
40,0.9,-2.9662305452211473,3.108760786650822,0.9908416666666667,0.00030881794642407,2.3,10
40,1.0,-0.9986807121713946,2.8687376235154947,0.9839874999999999,0.00042766046887988995,2.3,10
40,1.1,2.092210506714411,2.4337329052318903,0.995425,0.00056216743900107,2.3,10
40,1.2,5.444877556519256,3.0267804636575906,0.995425,0.00055632552545801,2.3,10
